student_id,course_id,semester,semester_num,grade_letter,grade_point
1,156,Fall 2020,1,B+,3.3
1,162,Fall 2020,1,B+,3.3
1,153,Fall 2020,1,B+,3.3
1,161,Fall 2020,1,B+,3.3
1,158,Fall 2020,1,B+,3.3
1,155,Fall 2020,1,B+,3.3
1,154,Spring 2020,2,B+,3.3
1,158,Spring 2020,2,B+,3.3
1,157,Spring 2020,2,A,4.0
1,161,Spring 2020,2,B,3.0
1,194,Fall 2021,3,B+,3.3
1,110,Fall 2021,3,B,3.0
1,111,Fall 2021,3,B+,3.3
1,118,Fall 2021,3,B,3.0
1,159,Spring 2021,4,A,4.0
1,163,Spring 2021,4,B+,3.3
1,162,Spring 2021,4,B+,3.3
1,161,Spring 2021,4,B,3.0
1,171,Spring 2021,4,A,4.0
1,176,Fall 2022,5,B,3.0
1,167,Fall 2022,5,B+,3.3
1,169,Fall 2022,5,B+,3.3
1,164,Fall 2022,5,A-,3.7
1,175,Fall 2022,5,B,3.0
1,49,Spring 2022,6,B+,3.3
1,146,Spring 2022,6,B+,3.3
1,242,Spring 2022,6,B,3.0
1,207,Spring 2022,6,A-,3.7
1,149,Spring 2022,6,B,3.0
1,27,Spring 2022,6,B-,2.7
1,164,Fall 2023,7,B+,3.3
1,169,Fall 2023,7,A,4.0
1,170,Fall 2023,7,A,4.0
1,171,Fall 2023,7,B+,3.3
1,28,Spring 2023,8,B-,2.7
1,239,Spring 2023,8,B-,2.7
1,27,Spring 2023,8,B,3.0
1,168,Spring 2023,8,B+,3.3
2,192,Fall 2022,1,B-,2.7
2,41,Fall 2022,1,B-,2.7
2,130,Fall 2022,1,B-,2.7
2,132,Fall 2022,1,B-,2.7
2,6,Fall 2022,1,B-,2.7
2,193,Spring 2022,2,C+,2.3
2,48,Spring 2022,2,B-,2.7
2,184,Spring 2022,2,B-,2.7
2,217,Spring 2022,2,B-,2.7
2,20,Fall 2023,3,B-,2.7
2,26,Fall 2023,3,B-,2.7
2,11,Fall 2023,3,B,3.0
2,18,Fall 2023,3,B-,2.7
2,167,Spring 2023,4,C+,2.3
2,147,Spring 2023,4,B-,2.7
2,46,Spring 2023,4,C+,2.3
2,42,Spring 2023,4,B-,2.7
2,25,Fall 2024,5,B,3.0
2,28,Fall 2024,5,B-,2.7
2,31,Fall 2024,5,B-,2.7
2,21,Fall 2024,5,C+,2.3
2,25,Spring 2024,6,B,3.0
2,24,Spring 2024,6,A-,3.7
2,23,Spring 2024,6,B+,3.3
2,28,Spring 2024,6,C,2.0
2,27,Spring 2024,6,B,3.0
2,19,Spring 2024,6,B,3.0
2,20,Fall 2025,7,B-,2.7
2,24,Fall 2025,7,B+,3.3
2,21,Fall 2025,7,B-,2.7
2,31,Fall 2025,7,B,3.0
2,27,Fall 2025,7,B,3.0
2,91,Spring 2025,8,C,2.0
2,126,Spring 2025,8,B-,2.7
2,94,Spring 2025,8,B-,2.7
2,84,Spring 2025,8,C+,2.3
2,204,Spring 2025,8,B-,2.7
