student_id,semester,gpa,credits
1,Fall 2020,3.3,21
1,Fall 2021,3.171,14
1,Fall 2022,3.247,17
1,Fall 2023,3.7,14
1,Spring 2020,3.392,13
1,Spring 2021,3.522,18
1,Spring 2022,3.15,22
1,Spring 2023,2.914,14
2,Fall 2022,2.7,18
2,Fall 2023,2.786,14
2,Fall 2024,2.675,12
2,Fall 2025,2.944,16
2,Spring 2022,2.614,14
2,Spring 2023,2.515,13
2,Spring 2024,3.0,20
2,Spring 2025,2.45,16
3,Fall 2020,4.0,14
3,Fall 2021,4.0,14
3,Fall 2022,3.914,14
3,Fall 2023,3.953,19
3,Spring 2020,4.0,13
3,Spring 2021,3.945,22
3,Spring 2022,4.0,14
3,Spring 2023,3.894,17
4,Fall 2020,3.394,16
4,Fall 2021,3.567,18
4,Fall 2022,3.936,14
4,Fall 2023,3.627,22
4,Spring 2020,3.532,22
4,Spring 2021,3.691,22
4,Spring 2022,3.75,18
4,Spring 2023,3.637,19
5,Fall 2020,3.22,15
5,Fall 2021,3.021,14
5,Fall 2022,3.407,15
5,Fall 2023,3.52,20
5,Spring 2020,3.082,22
5,Spring 2021,3.327,15
5,Spring 2022,3.086,21
5,Spring 2023,2.842,19
6,Fall 2022,3.7,19
6,Fall 2023,3.586,14
6,Fall 2024,3.183,18
6,Fall 2025,3.086,21
6,Spring 2022,3.075,16
6,Spring 2023,3.233,21
6,Spring 2024,3.257,21
6,Spring 2025,3.0,14
7,Fall 2020,2.258,19
7,Fall 2021,2.291,22
7,Fall 2022,1.9,21
7,Fall 2023,2.257,21
7,Spring 2020,2.677,13
7,Spring 2021,2.32,20
7,Spring 2022,2.629,17
7,Spring 2023,2.11,20
8,Fall 2021,4.0,20
8,Fall 2022,3.791,23
8,Fall 2023,3.92,15
8,Fall 2024,4.0,18
8,Spring 2021,3.91,20
8,Spring 2022,3.85,14
8,Spring 2023,3.769,13
8,Spring 2024,3.936,14
9,Fall 2020,3.3,16
9,Fall 2021,3.157,21
9,Fall 2022,3.0,16
9,Fall 2023,3.138,16
9,Spring 2020,3.15,16
9,Spring 2021,3.236,14
9,Spring 2022,3.268,19
9,Spring 2023,2.981,16
10,Fall 2020,3.625,16
10,Fall 2021,3.583,18
10,Fall 2022,3.446,13
10,Fall 2023,3.106,17
10,Spring 2020,3.386,14
10,Spring 2021,3.455,20
10,Spring 2022,3.442,19
10,Spring 2023,3.574,19
11,Fall 2022,3.063,19
11,Fall 2023,3.18,15
11,Fall 2024,2.91,20
11,Fall 2025,3.0,12
11,Spring 2022,3.236,22
11,Spring 2023,3.436,14
11,Spring 2024,2.85,14
11,Spring 2025,3.18,20
12,Fall 2020,2.77,20
12,Fall 2021,2.605,21
12,Fall 2022,2.65,14
12,Fall 2023,2.64,20
12,Spring 2020,2.677,13
12,Spring 2021,2.724,21
12,Spring 2022,2.7,18
12,Spring 2023,2.7,20
13,Fall 2020,3.648,21
13,Fall 2021,3.414,14
13,Fall 2022,4.0,14
13,Fall 2023,3.7,14
13,Spring 2020,3.905,19
13,Spring 2021,3.957,21
13,Spring 2022,3.61,21
13,Spring 2023,3.925,12
14,Fall 2022,3.267,15
14,Fall 2023,3.544,18
14,Fall 2024,3.165,20
14,Fall 2025,3.129,14
14,Spring 2022,2.982,17
14,Spring 2023,3.567,21
14,Spring 2024,3.35,20
14,Spring 2025,3.371,17
15,Fall 2022,3.156,18
15,Fall 2023,3.114,21
15,Fall 2024,3.0,17
15,Fall 2025,2.676,17
15,Spring 2022,3.214,21
15,Spring 2023,2.936,14
15,Spring 2024,2.925,16
15,Spring 2025,2.92,15
16,Fall 2020,3.056,16
16,Fall 2021,3.147,19
16,Fall 2022,2.929,17
16,Fall 2023,3.126,19
16,Spring 2020,3.275,12
16,Spring 2021,2.859,17
16,Spring 2022,3.023,13
16,Spring 2023,3.221,14
17,Fall 2022,3.7,21
17,Fall 2023,3.91,20
17,Fall 2024,3.74,15
17,Fall 2025,3.858,19
17,Spring 2022,3.825,16
17,Spring 2023,3.594,18
17,Spring 2024,3.7,13
17,Spring 2025,3.862,13
18,Fall 2020,2.608,13
18,Fall 2021,2.35,14
18,Fall 2022,2.095,19
18,Fall 2023,1.912,17
18,Spring 2020,2.195,19
18,Spring 2021,2.377,13
18,Spring 2022,2.231,13
18,Spring 2023,2.069,13
19,Fall 2020,3.276,21
19,Fall 2021,3.262,16
19,Fall 2022,3.35,14
19,Fall 2023,3.214,14
19,Spring 2020,3.683,23
19,Spring 2021,3.588,17
19,Spring 2022,3.535,17
19,Spring 2023,3.661,18
20,Fall 2021,3.0,13
20,Fall 2022,3.171,21
20,Fall 2023,3.186,21
20,Fall 2024,3.415,13
20,Spring 2021,3.225,12
20,Spring 2022,3.629,17
20,Spring 2023,3.39,21
20,Spring 2024,3.046,13
21,Fall 2021,3.158,19
21,Fall 2022,2.955,20
21,Fall 2023,3.257,21
21,Fall 2024,2.94,15
21,Spring 2021,3.231,13
21,Spring 2022,3.233,18
21,Spring 2023,3.208,13
21,Spring 2024,2.936,14
22,Fall 2020,2.868,19
22,Fall 2021,2.943,21
22,Fall 2022,3.0,20
22,Fall 2023,3.321,14
22,Spring 2020,3.187,16
22,Spring 2021,2.852,21
22,Spring 2022,3.018,17
22,Spring 2023,3.561,18
23,Fall 2021,2.867,18
23,Fall 2022,3.143,21
23,Fall 2023,3.426,19
23,Fall 2024,2.711,18
23,Spring 2021,3.0,18
23,Spring 2022,3.02,15
23,Spring 2023,3.1,21
23,Spring 2024,3.429,17
24,Fall 2020,3.248,23
24,Fall 2021,3.229,17
24,Fall 2022,3.221,19
24,Fall 2023,3.25,12
24,Spring 2020,3.417,23
